Patient_ID,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD4+ memory T-cells,CD4+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,CD8+ naive T-cells,CLP,CMP,Chondrocytes,Class-switched memory B-cells,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,HSC,Hepatocytes,Keratinocytes,MEP,MPP,MSC,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,Mesangial cells,Monocytes,Myocytes,NK cells,NKT,Neurons,Neutrophils,Osteoblast,Pericytes,Plasma cells,Platelets,Preadipocytes,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs,aDC,cDC,iDC,ly Endothelial cells,mv Endothelial cells,naive B-cells,pDC,pro B-cells,ImmuneScore,StromaScore,MicroenvironmentScore
C3N-00518.N,0.0544,0.0,0.0,0.0112,0.0,0.0,0.0592,0.0,0.0,0.1165,0.0396,0.0423,0.0062,0.0,0.0,0.099,0.0413,0.0798,0.0744,0.0019,0.2591,0.0,0.3654,0.0503,0.2443,0.0028,0.0239,0.0577,0.0,0.2253,0.0059,0.0,0.0334,0.008,0.0105,0.0157,0.0,0.0106,0.0064,0.0,0.0,0.0418,0.0406,0.0006,0.0,0.1742,0.0,0.0,0.0,0.0091,0.0,0.2954,0.0,0.005,0.0392,0.0,0.1324,0.4802,0.7754,0.0169,0.0523,0.0,0.0,0.0,0.1461,0.2471,0.3932
C3N-01011.N,0.0779,0.0,0.0,0.0514,0.0,0.0075,0.0274,0.0,0.0,0.0256,0.0,0.0,0.0066,0.0,0.0,0.0058,0.0,0.0022,0.0273,0.0,0.3823,0.0,0.151,0.0443,0.2632,0.0226,0.0175,0.0354,0.0,0.4636,0.0006,0.0,0.0162,0.0045,0.0102,0.0054,0.0,0.0046,0.0,0.0017,0.0,0.0053,0.0136,0.0016,0.0,0.021,0.0067,0.0,0.0,0.0136,0.0,0.0753,0.0,0.0007,0.0011,0.0,0.03,0.1866,0.038,0.0076,0.0287,0.0,0.0,0.0,0.023,0.1281,0.1511
C3N-01719.N,0.006,0.0064,0.1475,0.0443,0.0157,0.0,0.0688,0.0646,0.0094,0.076,0.0902,0.0122,0.0048,0.0018,0.0,0.0741,0.0389,0.0377,0.0231,0.0,0.3073,0.0,0.184,0.0571,0.2337,0.003,0.0331,0.0075,0.0,0.2817,0.0621,0.0028,0.0547,0.0173,0.003,0.02,0.0264,0.0044,0.0701,0.0,0.0,0.0127,0.0183,0.0201,0.0,0.0682,0.0615,0.0,0.0585,0.0148,0.0056,0.2797,0.0008,0.0,0.1015,0.0375,0.1861,0.1567,0.3007,0.0077,0.0107,0.0007,0.0062,0.0,0.2977,0.1066,0.4042
C3N-01998.N,0.0513,0.0,0.4786,0.0281,0.0,0.0,0.0117,0.0191,0.0677,0.1572,0.0927,0.0796,0.0151,0.0,0.0003,0.0323,0.1218,0.0479,0.0614,0.0014,0.1699,0.0,0.2873,0.0839,0.3761,0.0039,0.008,0.0372,0.0,0.5286,0.0156,0.0,0.0256,0.0224,0.0089,0.0107,0.2257,0.0022,0.0019,0.0,0.0,0.0754,0.0099,0.0,0.0,0.0598,0.0257,0.0,0.0,0.0043,0.0,0.1249,0.0,0.0,0.0823,0.0,0.1546,0.4636,0.3178,0.0143,0.0528,0.0631,0.0,0.0305,0.4833,0.2,0.6833
C3N-02010.N,0.0183,0.0,0.0,0.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0004,0.0,0.0076,0.0,0.0,0.0,0.0,0.2537,0.0,0.0615,0.1042,0.2567,0.0009,0.0069,0.0072,0.0,0.4532,0.0214,0.0,0.0294,0.0033,0.0007,0.0035,0.0,0.0,0.0,0.0,0.0,0.001,0.0138,0.0,0.0,0.0,0.0062,0.0,0.0,0.0123,0.0,0.2239,0.0,0.0,0.0091,0.0,0.0235,0.0385,0.0,0.0,0.0,0.0,0.0013,0.0,0.0165,0.0399,0.0564
C3N-02589.N,0.0695,0.0,0.0,0.0235,0.0,0.0,0.0215,0.0196,0.0,0.0445,0.0338,0.0068,0.0104,0.0167,0.0,0.0,0.0,0.0033,0.0031,0.0,0.2212,0.0,0.0143,0.0426,0.2785,0.0,0.0081,0.0102,0.0,0.4007,0.0286,0.0,0.0317,0.0033,0.0032,0.005,0.0,0.0,0.0,0.0,0.0,0.0064,0.0246,0.0,0.0,0.0,0.0094,0.0,0.0,0.0085,0.0,0.2443,0.0,0.0,0.0495,0.0,0.0238,0.0694,0.0554,0.0006,0.0,0.0,0.0,0.0,0.0531,0.0434,0.0966
C3N-02768.N,0.0166,0.0099,0.0605,0.0403,0.0,0.0,0.0569,0.0313,0.0136,0.1423,0.1233,0.0396,0.0085,0.0031,0.0,0.0478,0.032,0.004,0.0075,0.0,0.1487,0.0,0.1244,0.0634,0.3048,0.0,0.0044,0.004,0.0,0.5918,0.0388,0.0,0.0432,0.0164,0.0077,0.0087,0.0032,0.0,0.0019,0.0,0.0,0.004,0.014,0.0,0.0,0.0,0.0752,0.0,0.0,0.0053,0.0,0.2333,0.0,0.0,0.1205,0.0,0.0792,0.1138,0.0001,0.0012,0.004,0.0,0.0,0.0,0.1759,0.0742,0.2502
C3N-03069.N,0.0,0.0,0.0,0.0334,0.0,0.022,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0008,0.0,0.2211,0.0,0.0,0.0398,0.1958,0.0042,0.007,0.0415,0.0,0.3451,0.0,0.0,0.0,0.0129,0.0005,0.0025,0.0,0.0,0.0,0.0145,0.0,0.0,0.0048,0.0,0.016,0.0,0.0551,0.0,0.0,0.0086,0.0,0.2086,0.0,0.0222,0.0,0.0,0.0,0.0,0.0,0.002,0.0007,0.0,0.0,0.0,0.0087,0.0004,0.0091
C3N-03173.N,0.0171,0.0,0.0018,0.1046,0.0,0.0047,0.0316,0.0029,0.0,0.0216,0.0202,0.0,0.012,0.0071,0.0043,0.0086,0.0059,0.0125,0.0064,0.0,0.3649,0.0,0.0402,0.0034,0.061,0.0314,0.0339,0.0181,0.0,0.0,0.0,0.0137,0.0047,0.0037,0.0,0.0,0.0,0.0052,0.0,0.0086,0.0,0.0146,0.0038,0.0003,0.0255,0.0,0.0602,0.0091,0.0759,0.0113,0.0,0.0832,0.0,0.0,0.0991,0.0,0.0,0.0591,0.3876,0.0011,0.0101,0.0,0.0687,0.0,0.0266,0.0319,0.0584
C3N-03440.N,0.0,0.0,0.0,0.0279,0.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.3953,0.0,0.0,0.0434,0.1498,0.0019,0.0295,0.0106,0.0,0.5342,0.0,0.0,0.0046,0.0128,0.0005,0.0013,0.0,0.0,0.0,0.0,0.0,0.0009,0.0053,0.0,0.0,0.0,0.0289,0.0,0.0,0.018,0.0,0.1476,0.0,0.0023,0.0011,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0085,0.0,0.0085
C3N-03780.N,0.0009,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.0,0.0082,0.0,0.0,0.0003,0.0067,0.0,0.0,0.0,0.0071,0.0,0.0,0.449,0.0,0.0,0.0531,0.1801,0.0042,0.0465,0.0138,0.0,0.5286,0.0129,0.0,0.0087,0.0022,0.0008,0.0016,0.0,0.0,0.0,0.0,0.0,0.0031,0.0085,0.0,0.0,0.0,0.0316,0.0,0.0,0.0227,0.0,0.2459,0.0,0.0,0.0079,0.0,0.0347,0.0926,0.1114,0.0,0.0,0.0,0.0,0.0,0.0203,0.0004,0.0207
C3N-04283.N,0.0,0.0,0.0,0.0269,0.0,0.0,0.0,0.0018,0.0,0.0029,0.0,0.0,0.0033,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.5131,0.0,0.0,0.0282,0.1253,0.0,0.1672,0.0448,0.0,0.5464,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.015,0.0059,0.0,0.0,0.0,0.0193,0.0,0.0,0.0458,0.0,0.205,0.0,0.0213,0.0399,0.0,0.0108,0.119,0.0246,0.0,0.0,0.0,0.0,0.0,0.0019,0.0,0.0019
